outcome,on last GSS year,on last GSS year,on last GSS year,on last GSS year,on last GSS year,on last GSS year,on last GSS year,on last GSS year,"on first ""future"" GSS year","on first ""future"" GSS year","on first ""future"" GSS year","on first ""future"" GSS year","on first ""future"" GSS year","on first ""future"" GSS year","on first ""future"" GSS year","on first ""future"" GSS year",article_id
group,propSig,paramSizesNormed,Rs,adjRs,pvalues,propSig_CentralVars,paramSizesNormed_CentralVars,pvalues_CentralVars,propSig,paramSizesNormed,Rs,adjRs,pvalues,propSig_CentralVars,paramSizesNormed_CentralVars,pvalues_CentralVars,
,,,,,,,,,,,,,,,,,
25,0.2631578947368421,0.13528435789207732,0.12873609002610864,0.11782375364542041,0.38378763410454286,0.14285714285714285,0.13224659518145795,0.39200496423136993,0.15789473684210525,0.13021301001579855,0.1250974715753067,0.1128022437350189,0.4075926176417324,0.14285714285714285,0.14868198199086732,0.286624066135091,6439
26,0.6842105263157895,0.2616174686364915,0.13434135249003376,0.12349922045134598,0.07998736158754904,0.42857142857142855,0.23229074873304403,0.1613909178886508,0.2631578947368421,0.1891098140618681,0.12509716827366513,0.1128019361710022,0.1862635768429529,0.14285714285714285,0.14086302846100177,0.2266393591580708,6439
27,0.15789473684210525,0.09597003781367669,0.0458720351799341,0.03392184972734258,0.4467945140494719,0.14285714285714285,0.09997314608594632,0.3976375770206203,0.21052631578947367,0.13357795130357775,0.05443952364588589,0.041151321685288234,0.3419500346178886,0.14285714285714285,0.14386250754873825,0.26542551219008775,6439
28,0.6842105263157895,0.335783255941599,0.11201084333842537,0.10088902792868903,0.11826573229418132,0.42857142857142855,0.26985637793335,0.19303969331421858,0.42105263157894735,0.25499229527247963,0.11836169116599082,0.10597180368977333,0.1409526064823885,0.42857142857142855,0.33181405542383585,0.048481320519429556,6439
29,0.21052631578947367,0.13855058202232132,0.10046543350737558,0.0891990150740467,0.36397578145971865,0.2857142857142857,0.19565830653723773,0.23221083236716566,0.15789473684210525,0.1355183912093173,0.08544742773233571,0.07259498773744999,0.3572060916076868,0.14285714285714285,0.13034763619212317,0.2629892520692351,6439
30,0.2631578947368421,0.10439245215518982,0.10126629994378289,0.09000991213820075,0.4685322250666741,0.42857142857142855,0.1340661175515065,0.3516412650385954,0.3684210526315789,0.15354453013336852,0.1261270895551656,0.11384633119832255,0.3235016260125611,0.14285714285714285,0.07332842069740063,0.41419493324808815,6439
31,0.15789473684210525,0.11232782070738385,0.08569260233360387,0.07424115832855338,0.3856136682255491,0.2857142857142857,0.12820363940784327,0.36512651428141457,0.15789473684210525,0.12007832272512131,0.10431333153215994,0.09172601888357346,0.4025459389942191,0.14285714285714285,0.09445362480461526,0.3522753062851199,6439
32,0.47368421052631576,0.20416722142677626,0.14114965981715621,0.13039279992033748,0.19222608106186279,0.5714285714285714,0.21542243674549172,0.20186449935250012,0.47368421052631576,0.229279773420537,0.12566663004054768,0.11337940072898733,0.27942806864025094,0.42857142857142855,0.1812594713154045,0.4126053770016201,6439
33,0.3157894736842105,0.16086163922680546,0.10645626555798349,0.09526488061770766,0.2774757841178195,0.2857142857142857,0.16969923315130003,0.3075648481606022,0.3157894736842105,0.16997423932041442,0.10619532305783319,0.09363445851500696,0.29728547614257755,0.14285714285714285,0.1325813226381307,0.3331041456580451,6439
34,0.21052631578947367,0.12585867513449836,0.11094057131449109,0.09980535104750055,0.3463005276817194,0.2857142857142857,0.141740711183471,0.3178824404787798,0.21052631578947367,0.14201580415278164,0.1200168156708512,0.10765018808042681,0.3099334693948183,0.14285714285714285,0.12735556168156234,0.21765475053444086,6439
